Index,Company,TypeName,Inches,screen_resolution,has_ips_panel,is_touchscreen,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,gpu_name,OpSys,Weight,Price
1,Apple,Ultrabook,13.3,Full HD,1,0,1600,2560,Intel,Core i5,2.3,8,SSD,128,0,Intel, Iris Plus Graphics 640,macos,1.4,71379
2,Apple,Ultrabook,13.3,Full HD,0,0,900,1440,Intel,Core i5,1.8,8,Flash Storage,128,0,Intel, HD Graphics 6000,macos,1.3,47896
3,HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,SSD,256,0,Intel, HD Graphics 620,N/A,1.9,30636
4,Apple,Ultrabook,15.4,Full HD,1,0,1800,2880,Intel,Core i7,2.7,16,SSD,512,0,AMD, Radeon Pro 455,macos,1.8,135195
5,Apple,Ultrabook,13.3,Full HD,1,0,1600,2560,Intel,Core i5,3.1,8,SSD,256,0,Intel, Iris Plus Graphics 650,macos,1.4,96096
6,Acer,Notebook,15.6,Full HD,0,0,768,1366,AMD,A9-Series 9420,3,4,HDD,500,0,AMD, Radeon R5,windows,2.1,21312
7,Apple,Ultrabook,15.4,Full HD,1,0,1800,2880,Intel,Core i7,2.2,16,Flash Storage,256,0,Intel, Iris Pro Graphics,macos,2,114018
8,Apple,Ultrabook,13.3,Full HD,0,0,900,1440,Intel,Core i5,1.8,8,Flash Storage,256,0,Intel, HD Graphics 6000,macos,1.3,61736
9,Asus,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,SSD,512,0,Nvidia, GeForce MX150,windows,1.3,79654
10,Acer,Ultrabook,14,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.6,41026
11,HP,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i5,2.5,4,HDD,500,0,Intel, HD Graphics 620,N/A,1.9,20987
12,HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,HDD,500,0,Intel, HD Graphics 520,N/A,1.9,18381
13,Apple,Ultrabook,15.4,Full HD,1,0,1800,2880,Intel,Core i7,2.8,16,SSD,256,0,AMD, Radeon Pro 555,macos,1.8,130002
14,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,SSD,256,0,AMD, Radeon R5 M430,windows,2.2,26581
15,Apple,Ultrabook,12,Full HD,1,0,1440,2304,Intel,Core M,1.2,8,SSD,256,0,Intel, HD Graphics 615,macos,0.9,67261
16,Apple,Ultrabook,13.3,Full HD,1,0,1600,2560,Intel,Core i5,2.3,8,SSD,256,0,Intel, Iris Plus Graphics 640,macos,1.4,80908
17,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.7,8,SSD,256,0,AMD, Radeon R5 M430,windows,2.2,39694
18,Apple,Ultrabook,15.4,Full HD,1,0,1800,2880,Intel,Core i7,2.9,16,SSD,512,0,AMD, Radeon Pro 560,macos,1.8,152274
19,Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2.4,8,HDD,1024,0,Nvidia, GeForce 940MX,N/A,2.2,26587
20,Dell,Ultrabook,13.3,Full HD,1,1,1080,1920,Intel,Core i5,1.6,8,SSD,128,0,Intel, UHD Graphics 620,windows,1.2,52161
21,Lenovo,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i5,2.5,8,Hybrid,128,1024,Nvidia, GeForce GTX 1050,windows,2.5,53227
22,HP,Notebook,15.6,Full HD,0,0,768,1366,AMD,E-Series E2-9000e,1.5,4,HDD,500,0,AMD, Radeon R2,N/A,1.9,13746
23,Dell,2 in 1 Convertible,13.3,Full HD,0,1,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.6,43636
24,HP,Ultrabook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Intel, HD Graphics 620,windows,1.9,35112
25,Dell,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2,4,HDD,1024,0,Intel, HD Graphics 520,windows,2.3,22305
26,Apple,Ultrabook,13.3,Full HD,0,0,900,1440,Intel,Core i5,1.6,8,Flash Storage,128,0,Intel, HD Graphics 6000,macos,1.4,58555
27,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,AMD, Radeon 530,windows,2.2,42624
28,Dell,Ultrabook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.9,8,SSD,256,256,Intel, UHD Graphics 620,windows,1.9,69157
29,HP,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,HDD,1024,0,Nvidia, GeForce 930MX,windows,2.5,47739
30,Chuwi,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Atom x5-Z8300,1.4,4,Flash Storage,64,0,Intel, HD Graphics,windows,1.9,13053
31,Asus,Notebook,14,Full HD,0,0,768,1366,AMD,E-Series E2-6110,1.5,2,Flash Storage,32,0,AMD, Radeon R2,windows,1.7,10603
32,HP,Notebook,17.3,Full HD,0,0,1080,1920,AMD,A6-Series 9220,2.5,4,HDD,500,0,AMD, Radeon 530,windows,2.7,23390
33,Dell,Ultrabook,13.3,Quad HD +,0,1,1800,3200,Intel,Core i7,1.8,16,SSD,512,0,Intel, UHD Graphics 620,windows,1.2,99580
34,Apple,Ultrabook,13.3,Full HD,0,0,900,1440,Intel,Core i5,1.6,8,Flash Storage,256,0,Intel, HD Graphics 6000,macos,1.4,53173
35,Lenovo,Notebook,14,Full HD,0,0,768,1366,Intel,Celeron Dual,1.1,4,Flash Storage,64,0,Intel, HD Graphics 500,windows,1.4,13267
36,Acer,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2.7,4,HDD,1024,0,Intel, HD Graphics 620,linux,2.1,19554
37,Dell,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,Hybrid,128,1024,AMD, Radeon 530,windows,2.8,52161
38,HP,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i5,2.5,4,HDD,1024,0,Intel, HD Graphics 620,windows,1.9,26037
39,HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Nvidia, GeForce 930MX ,windows,2.1,46833
40,Asus,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,HDD,1024,0,Intel, HD Graphics 620,linux,2,20726
41,Dell,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia, GeForce GTX 1060,windows,2.7,79867
42,Asus,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i5,2.5,8,HDD,1024,0,Nvidia, GeForce 940MX,linux,2.3,27865
43,Acer,Notebook,15.6,Full HD,1,0,1080,1920,Intel,Core i5,1.6,4,SSD,256,0,Intel, UHD Graphics 620,windows,2.2,36337
44,Dell,2 in 1 Convertible,17.3,Full HD,0,1,1080,1920,Intel,Core i5,1.6,12,HDD,1024,0,Nvidia, GeForce 150MX,windows,2.8,53227
45,Apple,Ultrabook,13.3,Full HD,1,0,1600,2560,Intel,Core i5,2,8,SSD,256,0,Intel, Iris Graphics 540,macos,1.4,75604
46,Asus,Gaming,17.3,Full HD,0,0,1080,1920,AMD,Ryzen 1700,3,8,Hybrid,256,1024,AMD, Radeon RX 580,windows,3.2,69211
47,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,4,SSD,256,0,AMD, Radeon R5 M430,windows,2.3,34046
48,Asus,Notebook,17.3,Full HD,0,0,768,1366,Intel,Pentium Quad,1.1,4,HDD,1024,0,Nvidia, GeForce 920MX,windows,2.8,24828
49,Acer,Notebook,15.6,Full HD,1,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,Nvidia, GeForce MX150,windows,2.2,44808
50,HP,Notebook,15.6,Full HD,0,0,1080,1920,AMD,A6-Series 9220,2.5,4,SSD,256,0,AMD, Radeon R4 Graphics,windows,1.9,21232
51,HP,Notebook,13.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,512,0,Intel, UHD Graphics 620,windows,1.5,58768
52,Acer,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i3,2.4,4,HDD,1024,0,Intel, HD Graphics 620,windows,2.4,20460
53,Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,256,0,AMD, Radeon 520,windows,2.1,40908
54,HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,SSD,128,0,Intel, HD Graphics 520,windows,1.9,23390
55,Asus,Notebook,15.6,Full HD,0,0,768,1366,Intel,Core i5,2.5,4,SSD,256,0,Intel, HD Graphics 620,windows,2,31232
56,MSI,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,256,2048,Nvidia, GeForce GTX 1070,windows,2.4,130483
57,Asus,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,SSD,256,0,Intel, HD Graphics 520,linux,2,22111
58,Dell,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,Hybrid,256,2048,AMD, Radeon 530,windows,2.8,69211
59,Dell,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,0,Intel, UHD Graphics 620,windows,1.7,46833
